,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-22,日証金,-,-,100,47500
1,2023-08-21,日証金,-,-,100,47000
2,2023-08-18,日証金,-,-,1100,47200
3,2023-08-17,日証金,-,-,1100,47000
4,2023-08-16,日証金,-,-,4700,47300
5,2023-08-15,日証金,-,-,4700,47200
6,2023-08-14,日証金,-,-,1100,47500
7,2023-08-10,日証金,-,-,7100,47300
8,2023-08-09,日証金,-,-,600,49400
9,2023-08-08,日証金,-,-,100,50600
10,2023-08-07,日証金,-,-,100,51200
11,2023-08-04,日証金,-,-,11800,55300
12,2023-08-03,日証金,-,-,100,55500
13,2023-08-02,日証金,-,-,5000,52100
14,2023-08-01,日証金,-,-,0,53200
15,2023-07-31,日証金,-,-,0,54500
16,2023-07-28,日証金,-,-,100,55800
17,2023-07-27,日証金,-,-,0,50800
18,2023-07-26,日証金,-,-,0,56000
19,2023-07-25,日証金,-,-,0,59600
20,2023-07-24,日証金,-,-,0,62400
